user_id,01,02,03,04,05,06,07,08,09,10,total,rank
7158,77.673,49.966,63.782,41.180,60.268,81.383,73.169,51.430,67.524,59.817,626.192,20359
40972,53.293,68.478,69.214,54.679,60.156,70.480,65.247,43.065,62.118,79.272,626.002,20731
13988,55.380,52.893,79.720,50.100,54.612,89.517,71.899,39.514,67.704,64.583,625.922,20898
168474,73.025,56.432,70.878,39.911,59.592,65.471,68.512,60.315,77.842,53.774,625.752,21250
86844,83.173,52.966,63.757,40.373,59.686,62.755,70.748,68.534,48.218,75.541,625.751,21253
572,73.180,59.432,68.312,45.497,55.004,83.197,66.240,40.748,71.480,62.041,625.131,22605
4412,69.106,64.795,68.553,54.332,61.881,55.227,66.897,46.974,68.618,66.501,622.884,28355
184980,55.769,68.741,65.089,56.653,62.383,61.368,66.049,42.892,81.091,62.776,622.811,28558
16397,51.826,80.232,64.116,52.100,60.336,61.857,65.495,51.430,69.324,65.918,622.634,29101
36135,69.570,52.966,63.757,37.542,59.686,65.072,66.323,67.379,70.917,69.275,622.487,29525
181409,57.938,62.017,70.304,36.410,67.109,84.063,63.742,54.559,67.367,58.570,622.079,30745
326,54.640,65.837,73.569,53.054,62.307,54.107,51.436,36.156,99.589,70.757,621.452,32683
119395,73.180,52.801,62.755,37.541,59.854,67.004,61.377,60.948,78.008,67.446,620.914,34386
831978,76.812,56.853,60.716,44.243,54.736,83.248,67.000,48.852,71.581,56.100,620.141,37026
533701,52.633,69.365,67.501,52.880,56.601,58.544,64.511,46.060,88.984,62.916,619.995,37582
213,74.345,51.999,64.920,40.325,66.782,69.986,64.633,43.677,74.581,68.702,619.950,37748
2601854,77.673,46.336,65.957,37.994,66.782,65.072,66.323,67.379,52.885,73.037,619.438,39591
785861,77.673,57.666,70.736,38.542,55.856,64.155,78.350,44.032,70.130,61.802,618.942,41453
4342,77.673,52.966,63.782,41.180,60.268,64.622,65.770,68.995,45.106,78.484,618.846,41820
16757,52.557,60.458,72.652,35.897,66.032,83.841,61.251,68.365,48.548,69.209,618.810,41956
129,79.280,53.380,68.005,41.117,57.950,64.507,64.686,42.049,80.678,66.963,618.615,42745
153415,51.826,69.419,71.406,46.540,59.332,65.457,68.804,51.430,67.524,66.718,618.456,43391
