user_id,01,02,03,04,05,06,07,08,09,10,total,rank
86844,83.173,52.966,63.757,43.978,59.686,62.755,70.748,68.534,56.977,75.541,638.115,11467
28231,73.211,59.675,64.430,41.477,58.266,77.455,58.006,61.347,78.599,65.211,637.677,12071
231901,60.487,82.329,75.577,45.438,59.698,85.673,65.020,35.935,63.667,63.091,636.915,13124
22058,60.938,63.094,67.292,57.684,56.823,77.651,69.946,46.118,72.293,64.345,636.184,14203
13988,55.380,55.724,79.720,53.738,54.612,89.517,71.899,39.514,70.910,64.583,635.597,15154
151,55.447,71.252,71.805,60.565,59.690,60.975,65.290,47.011,80.116,62.834,634.985,16238
3526,77.683,52.356,63.136,43.829,58.798,67.575,64.508,59.181,73.457,73.635,634.158,17711
11235,73.180,54.201,65.451,40.378,67.432,80.818,71.532,44.030,69.238,67.677,633.937,18161
226,53.040,65.837,67.734,56.659,60.468,70.562,65.192,58.664,56.970,78.484,633.610,18772
831978,76.812,56.853,60.716,52.799,58.814,83.248,67.000,48.852,72.395,56.100,633.589,18819
16757,52.557,63.034,72.652,39.249,66.032,83.841,61.251,68.365,57.307,69.209,633.497,19012
430762,50.251,90.697,74.081,70.764,51.801,71.863,62.295,36.207,73.160,52.342,633.461,19075
16397,51.826,80.232,67.126,55.705,60.336,61.881,68.804,51.430,70.138,65.918,633.396,19204
326,54.640,65.837,73.569,58.431,62.307,54.107,51.436,41.673,100.589,70.757,633.346,19305
8984,51.826,69.218,70.498,49.530,57.032,77.155,69.249,36.750,71.676,80.284,633.218,19578
34754,50.957,64.940,70.671,41.274,66.032,83.841,65.397,67.286,53.514,69.048,632.960,20153
36135,69.570,52.966,63.757,43.978,59.686,65.072,66.323,67.379,74.657,69.275,632.663,20803
28065,67.843,68.355,65.781,55.114,61.208,68.131,44.190,54.561,82.075,65.296,632.554,21051
7158,77.673,49.966,63.782,44.785,60.268,81.383,73.169,51.430,70.138,59.817,632.411,21351
4279,53.755,84.163,68.198,54.852,63.241,60.064,65.290,48.844,65.732,68.145,632.284,21668
119395,73.180,52.801,65.765,40.372,59.854,67.004,64.686,60.948,80.159,67.446,632.215,21804
40972,53.293,68.478,69.214,57.510,60.156,70.504,65.247,45.109,63.118,79.272,631.901,22543
168474,73.025,56.432,70.878,39.911,59.592,65.471,68.512,63.094,81.048,53.774,631.737,22907
246,53.040,78.037,73.569,58.683,63.239,67.716,58.831,38.653,70.784,68.808,631.360,23797
184980,55.769,68.741,65.089,61.020,62.383,64.688,66.049,42.892,81.905,62.776,631.312,23921
4342,77.673,52.966,63.782,44.785,60.268,64.622,65.770,68.995,53.865,78.484,631.210,24197
122640,57.183,65.837,67.734,61.862,63.720,52.387,53.065,41.670,91.029,75.980,630.467,26135
3546,56.319,73.746,68.587,54.354,60.504,49.971,54.073,45.148,95.750,71.700,630.152,26992
1352,77.673,57.666,66.296,47.351,59.686,67.569,66.323,51.430,70.138,65.918,630.050,27281
3704,61.819,66.119,66.432,51.919,72.225,64.026,59.845,61.558,55.382,70.459,629.784,28023
6123,53.040,65.837,73.569,58.683,63.239,67.716,58.831,48.730,71.338,68.718,629.701,28292
533701,52.633,69.365,67.501,56.485,56.601,58.544,64.511,50.947,89.984,62.916,629.487,28892
2601854,77.673,53.266,65.957,40.825,66.782,65.072,66.323,67.379,52.885,73.037,629.199,29764
785861,77.673,57.666,70.736,43.919,55.856,64.179,78.350,44.032,74.391,61.802,628.604,31626
129,79.280,53.380,68.005,49.673,57.950,64.507,64.686,43.049,80.678,66.963,628.171,32973
47,53.040,78.037,73.569,58.683,63.239,67.716,58.831,38.653,69.683,65.530,626.981,37029
591,77.673,57.666,65.957,40.573,62.169,65.118,63.384,67.993,52.885,73.037,626.455,39036
2568,58.052,69.218,72.500,48.893,62.267,85.681,69.107,26.460,69.242,63.382,624.802,45794
153415,51.826,69.419,71.406,50.178,59.332,65.458,68.804,51.430,70.138,66.718,624.709,46169
1749144,74.683,52.356,64.217,45.227,60.009,76.133,76.273,50.832,51.405,72.951,624.086,48878
309463,77.673,57.666,65.240,40.295,59.686,68.969,65.923,58.558,54.085,75.837,623.932,49553
4412,69.106,64.795,68.553,54.332,61.881,55.227,66.897,46.974,69.618,66.501,623.884,49785
5726,54.010,74.116,65.720,59.774,60.668,63.776,64.042,52.321,63.985,65.056,623.468,51760
170599,51.826,69.218,70.498,50.043,67.809,87.931,61.894,60.085,49.170,54.826,623.300,52549
7452,52.435,69.218,68.340,56.483,63.832,58.960,65.290,47.323,75.614,65.591,623.086,53616
7250,69.570,52.966,68.875,51.728,61.886,67.569,65.385,69.160,48.360,67.568,623.067,53708
1337,71.345,51.999,66.001,43.523,52.883,60.068,63.963,58.418,80.892,73.602,622.694,55665
145512,57.840,64.537,77.967,58.858,59.128,47.324,57.614,46.295,77.457,74.994,622.014,59217
213,74.345,51.999,64.920,41.325,66.782,69.986,64.633,43.677,75.395,68.702,621.764,60545
16203,73.180,52.501,63.251,43.531,60.436,64.057,63.329,65.355,72.002,64.001,621.643,61213
3178,48.032,72.589,67.986,58.789,65.130,86.378,61.104,67.528,41.735,52.275,621.546,61783
118541,57.540,49.143,66.219,42.178,68.932,75.257,70.433,54.364,59.955,77.094,621.115,64232
78940,52.557,63.754,73.569,61.657,65.684,42.971,53.073,52.648,78.729,76.325,620.967,65089
4608784,56.319,67.766,67.657,53.280,61.881,67.326,63.980,57.121,55.932,69.306,620.568,67380
999999,53.040,65.837,73.569,58.683,63.239,67.716,58.831,43.353,69.240,66.620,620.128,70005
445690,77.673,53.266,66.296,41.626,59.686,67.569,66.323,51.430,70.138,65.918,619.925,71244
55,66.105,55.499,72.218,50.895,55.691,76.918,65.679,44.624,67.326,64.826,619.781,72141
775,69.570,53.266,66.296,41.626,59.686,67.569,66.323,49.597,75.705,69.963,619.601,73309
3743,63.930,78.342,66.728,50.970,66.201,51.090,61.320,39.052,69.267,72.600,619.500,73953
276196,52.557,63.754,76.143,45.905,68.713,78.526,61.115,57.598,50.235,64.685,619.231,75742
234974,52.157,63.754,65.040,51.950,52.919,78.577,61.480,66.084,54.430,72.719,619.110,76548
16459,50.382,67.863,67.119,54.364,64.435,71.180,53.082,56.754,66.789,67.112,619.080,76742
17076,54.640,65.837,67.709,61.055,62.996,62.473,64.690,53.473,56.468,69.711,619.052,76929
2408,54.415,70.583,68.534,59.881,63.118,61.664,63.784,43.029,67.705,66.272,618.985,77389
94678,81.747,51.407,68.513,47.714,50.284,83.533,69.617,50.511,51.924,63.631,618.881,78148
27602,62.545,68.497,68.713,56.185,62.007,49.233,57.004,50.154,75.611,68.073,618.022,84208
11698,65.923,45.449,65.240,53.256,49.931,66.278,60.932,64.982,77.913,67.759,617.663,86793
12329,61.205,60.409,64.690,58.924,65.479,68.272,59.445,48.555,68.562,62.074,617.615,87185
60059,51.826,67.301,67.126,53.052,66.071,51.839,56.823,42.653,88.586,71.865,617.142,90822
1449,50.320,85.232,70.598,53.628,57.101,69.186,61.911,49.786,61.984,56.790,616.536,95656
50685,60.917,67.741,64.621,51.288,54.813,71.163,56.265,52.827,80.118,56.678,616.431,96508
912778,73.474,54.265,62.720,46.128,62.383,60.826,64.523,59.223,58.944,73.837,616.323,97432
505,57.324,72.277,67.110,51.794,66.863,67.328,64.578,44.836,65.310,58.763,616.183,98602
16883,48.636,82.141,73.459,62.048,61.024,59.331,63.900,36.700,76.756,52.115,616.110,99243
330378,49.411,66.558,71.520,54.716,54.293,65.532,64.257,48.652,78.903,62.025,615.867,101266
64122,53.040,78.037,67.734,52.780,61.881,51.787,64.760,44.294,69.464,72.081,615.858,101347
34995,45.465,60.498,76.543,51.288,63.686,71.789,63.291,48.303,73.675,61.168,615.706,102654
49626,52.557,64.940,67.317,55.825,64.835,50.776,53.764,43.452,90.615,70.898,614.979,109001
275466,72.718,51.584,66.543,39.172,68.555,65.744,67.018,46.448,67.379,69.783,614.944,109346
42175,49.716,64.148,70.883,54.660,50.239,60.142,63.622,51.641,87.254,62.629,614.934,109436
90,74.474,54.565,65.001,46.128,59.741,77.836,69.249,44.533,53.317,69.877,614.721,111385
98873,63.581,87.190,68.081,43.302,56.247,59.083,58.827,49.570,73.324,55.453,614.658,111953
48769,51.826,69.218,66.734,53.616,63.832,60.064,63.666,49.556,69.253,66.527,614.292,115369
481165,59.519,69.484,73.043,52.862,62.478,63.231,62.865,46.041,72.675,51.738,613.936,118874
918,54.640,64.937,68.790,56.137,61.750,52.387,59.950,47.470,71.631,75.980,613.672,121348
1756,62.545,67.766,68.713,56.185,58.807,49.233,57.004,48.450,75.611,68.866,613.180,126280
14391,72.596,51.650,70.765,44.863,57.089,63.538,60.932,64.982,57.264,69.300,612.979,128349
1210,75.744,46.950,62.306,53.509,58.931,65.068,62.141,58.975,72.823,56.517,612.964,128512
97910,60.938,63.064,66.211,60.260,63.253,63.670,50.281,40.067,80.705,64.437,612.886,129364
28081,52.346,69.367,71.608,60.678,59.454,58.960,65.290,47.323,60.069,67.633,612.728,131040
13623,77.683,52.356,63.076,41.000,64.980,58.842,63.563,46.053,70.984,73.963,612.500,133451
2733,52.557,77.140,68.584,57.430,63.430,52.163,50.941,39.760,79.168,70.753,611.926,139684
6434534,60.197,77.942,66.117,44.908,52.563,68.252,64.111,42.352,75.145,60.195,611.782,141320
2267,66.028,69.594,68.948,52.630,66.483,62.027,63.580,32.542,68.191,61.728,611.751,141658
18210,56.319,68.497,67.632,55.309,60.525,51.928,61.214,51.447,66.858,71.904,611.633,142989
5648,77.673,52.966,63.757,43.978,59.686,67.812,64.523,38.653,73.907,68.226,611.181,148250
1058,56.319,69.683,67.265,57.523,57.304,52.387,53.065,47.407,75.776,74.399,611.128,148881
73172,73.180,52.501,63.251,43.531,60.436,67.247,62.886,51.430,70.138,66.443,611.043,149941
403616,53.673,66.053,69.001,56.873,67.610,54.372,50.388,39.067,76.829,77.044,610.910,151492
24640,50.064,64.475,74.490,46.750,62.734,64.236,76.454,46.032,59.212,66.348,610.795,152912
175,51.826,68.032,67.126,52.591,62.306,50.824,54.005,51.447,83.024,69.311,610.492,156551
580638,56.203,67.942,66.764,49.855,61.403,57.013,64.594,43.148,86.450,57.113,610.485,156625
14591,58.402,69.683,67.604,53.849,63.064,64.530,64.865,44.083,65.110,59.235,610.425,157310
454016,68.911,50.969,67.733,54.473,66.714,63.292,61.142,49.346,61.887,65.730,610.197,160087
121820,48.322,78.918,73.976,58.245,63.255,50.726,61.722,39.204,70.018,65.608,609.994,162646
23702,60.123,79.012,69.054,52.579,52.543,64.218,60.295,47.392,65.259,58.917,609.392,170591
550781,52.557,77.140,68.584,63.155,61.635,53.102,50.941,37.629,73.764,70.753,609.260,172292
4629,76.380,52.801,67.952,50.472,52.472,73.599,53.648,38.214,80.723,62.718,608.979,176096
11334,57.783,63.754,73.569,58.683,60.899,57.859,52.588,40.565,74.016,68.923,608.639,180613
5045,59.546,71.643,67.734,51.891,57.236,74.842,54.269,59.202,65.504,46.688,608.555,181801
